"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06053,"Monterey, CA",1,Personal income (thousands of dollars),17079631,17462059,18256300,19005460,19989436,21593394,22267892,22772964,23001148,24504951,26807865,28527642,28634611,30339685,32358723
06053,"Monterey, CA",2,Population (persons) 1,416536,421275,425838,428497,431037,433948,437926,439011,439285,440023,440506,439245,436427,435637,436251
06053,"Monterey, CA",3,Per capita personal income (dollars) 2,41004,41450,42871,44354,46375,49760,50849,51873,52360,55690,60857,64947,65611,69644,74175
06055,"Napa, CA",1,Personal income (thousands of dollars),6390918,6644810,7334742,7603966,8212768,8890655,9415486,9595776,9657020,10194797,11412522,11911814,11999926,12830374,13673170
06055,"Napa, CA",2,Population (persons) 1,136790,137859,138847,140017,140979,141566,141730,140922,139877,139087,137465,136219,134492,133444,132727
06055,"Napa, CA",3,Per capita personal income (dollars) 2,46721,48200,52826,54307,58255,62802,66433,68093,69039,73298,83021,87446,89224,96148,103017
06057,"Nevada, CA",1,Personal income (thousands of dollars),4512796,4674817,4806974,4858103,5119284,5313879,5565078,5669101,5821249,6165852,6654991,7309781,7333900,7781463,8210982
06057,"Nevada, CA",2,Population (persons) 1,98858,99036,98741,98801,99692,100060,100539,101277,101583,102016,102267,103499,102356,102086,102195
06057,"Nevada, CA",3,Per capita personal income (dollars) 2,45649,47203,48683,49171,51351,53107,55352,55976,57305,60440,65075,70627,71651,76225,80346
06059,"Orange, CA",1,Personal income (thousands of dollars),146752367,156467073,167428549,166542339,173769675,187042532,194223700,202337241,210648610,221785219,239226060,258628044,267134967,282269399,298128817
06059,"Orange, CA",2,Population (persons) 1,3016780,3052224,3082360,3110533,3133414,3157464,3174414,3185916,3188957,3185850,3186261,3159351,3158489,3154563,3170435
06059,"Orange, CA",3,Per capita personal income (dollars) 2,48645,51263,54318,53541,55457,59238,61184,63510,66056,69616,75080,81861,84577,89480,94034
06061,"Placer, CA",1,Personal income (thousands of dollars),16691044,17691189,18866670,19386534,20439566,21893973,23059644,24314724,25586686,27150590,29725079,32886037,33705721,35628496,38068254
06061,"Placer, CA",2,Population (persons) 1,350070,356636,360834,366232,370308,374188,380615,387169,394807,401241,405951,412968,418439,424599,433822
06061,"Placer, CA",3,Per capita personal income (dollars) 2,47679,49606,52286,52935,55196,58511,60585,62801,64808,67667,73223,79633,80551,83911,87751
06063,"Plumas, CA",1,Personal income (thousands of dollars),785609,784030,764527,772589,813656,830092,855026,884140,926506,975771,1076893,1173329,1173684,1248118,1347930
06063,"Plumas, CA",2,Population (persons) 1,19935,19820,19560,19161,18972,18856,19191,19260,19491,19793,19761,19965,19433,19120,18834
06063,"Plumas, CA",3,Per capita personal income (dollars) 2,39409,39558,39086,40321,42887,44023,44553,45906,47535,49299,54496,58769,60396,65278,71569
06065,"Riverside, CA",1,Personal income (thousands of dollars),68136070,72179702,73771301,76069949,79630223,84597340,88997439,92451456,96994918,103647288,115415017,126651219,127575613,133563233,142697421
06065,"Riverside, CA",2,Population (persons) 1,2199892,2225473,2245681,2264308,2286762,2309475,2336394,2364473,2387939,2403591,2424663,2455225,2479628,2503549,2529933
06065,"Riverside, CA",3,Per capita personal income (dollars) 2,30972,32433,32850,33595,34822,36631,38092,39100,40619,43122,47600,51584,51449,53350,56404
06067,"Sacramento, CA",1,Personal income (thousands of dollars),54432590,56971040,58911556,60921536,64560357,69100516,71627441,74690008,78526608,82829648,91355811,98181711,99000141,104260801,112291560
06067,"Sacramento, CA",2,Population (persons) 1,1422042,1437021,1450783,1465896,1486089,1507458,1527967,1547198,1561413,1576171,1586727,1588824,1588743,1594506,1611231
06067,"Sacramento, CA",3,Per capita personal income (dollars) 2,38278,39645,40607,41559,43443,45839,46878,48274,50292,52551,57575,61795,62314,65388,69693
06069,"San Benito, CA",1,Personal income (thousands of dollars),1995967,2073624,2150991,2257136,2344649,2574650,2751653,2936976,3094215,3418981,3913642,4162157,4226425,4444976,4838868
06069,"San Benito, CA",2,Population (persons) 1,55554,56144,56794,57450,58061,58486,59520,60480,61745,63173,64533,66703,67715,68341,69159
06069,"San Benito, CA",3,Per capita personal income (dollars) 2,35928,36934,37874,39289,40383,44022,46231,48561,50113,54121,60646,62398,62415,65041,69967
06071,"San Bernardino, CA",1,Personal income (thousands of dollars),60067589,63385754,64760552,66327570,69951380,74258677,77453102,80031472,83514331,89202022,99003275,109157423,108075879,111575931,119551968
06071,"San Bernardino, CA",2,Population (persons) 1,2040648,2059818,2071687,2080078,2095700,2111085,2126834,2145333,2160491,2171521,2183526,2190877,2196029,2200805,2214281
06071,"San Bernardino, CA",3,Per capita personal income (dollars) 2,29436,30773,31260,31887,33379,35176,36417,37305,38655,41078,45341,49824,49214,50698,53991
06073,"San Diego, CA",1,Personal income (thousands of dollars),136161972,144475867,151092176,155648494,164691400,174081824,180838809,187630531,194949226,204627597,222761986,240062927,246463680,262611416,278127534
06073,"San Diego, CA",2,Population (persons) 1,3102369,3132770,3167098,3199163,3234108,3262051,3283104,3293086,3302976,3297378,3301182,3274244,3283755,3285890,3298799
06073,"San Diego, CA",3,Per capita personal income (dollars) 2,43890,46118,47707,48653,50923,53366,55082,56977,59022,62058,67479,73319,75055,79921,84312
06075,"San Francisco, CA",1,Personal income (thousands of dollars),60634263,65202071,71831160,73391437,81851860,89619269,96454751,103185030,111996017,112277739,119725318,130747503,125186977,132976966,141918003
06075,"San Francisco, CA",2,Population (persons) 1,805604,816119,829730,840802,852366,865025,873473,879941,882486,881976,874826,815498,814176,819151,827526
06075,"San Francisco, CA",3,Per capita personal income (dollars) 2,75266,79893,86572,87287,96029,103603,110427,117264,126910,127302,136856,160328,153759,162335,171497
06077,"San Joaquin, CA",1,Personal income (thousands of dollars),22406240,22918431,23605656,24541217,25983911,27994154,29427807,30735741,32261357,34997298,40306154,44187154,44932867,46871534,51428988
06077,"San Joaquin, CA",2,Population (persons) 1,687419,695787,702187,705793,716476,728317,740281,752124,762646,772845,780676,788096,795880,805909,816108
06077,"San Joaquin, CA",3,Per capita personal income (dollars) 2,32595,32939,33617,34771,36266,38437,39752,40865,42302,45284,51630,56068,56457,58160,63017
06079,"San Luis Obispo, CA",1,Personal income (thousands of dollars),10809063,11443277,11971219,12342485,13091879,13980423,14406406,15144287,15708604,16679450,17812663,19186225,19494705,20663641,21860772
06079,"San Luis Obispo, CA",2,Population (persons) 1,269796,271038,274141,275666,278210,280062,281794,282368,283130,282594,281924,279468,282535,282007,281843
06079,"San Luis Obispo, CA",3,Per capita personal income (dollars) 2,40064,42220,43668,44773,47058,49919,51124,53633,55482,59023,63182,68653,68999,73274,77564
06081,"San Mateo, CA",1,Personal income (thousands of dollars),52631124,57392287,63988582,64197935,68912173,76041603,79961246,87958938,95143957,99156583,107790429,129020524,118742219,125587893,133465215
06081,"San Mateo, CA",2,Population (persons) 1,720041,729410,740539,750343,759237,767435,770258,771360,771485,768257,762727,739330,732485,734267,742893
06081,"San Mateo, CA",3,Per capita personal income (dollars) 2,73095,78683,86408,85558,90765,99085,103811,114031,123326,129067,141322,174510,162109,171038,179656
06083,"Santa Barbara, CA",1,Personal income (thousands of dollars),19159070,20369091,21509851,21378868,22648262,24099747,24476667,25499526,26706505,27972670,30969628,33613226,34927083,37046666,39270189
06083,"Santa Barbara, CA",2,Population (persons) 1,424291,425771,430298,435461,440173,443597,445953,447134,447567,448189,448083,437117,445286,443521,444500
06083,"Santa Barbara, CA",3,Per capita personal income (dollars) 2,45155,47840,49988,49095,51453,54328,54886,57029,59670,62413,69116,76898,78437,83529,88347
06085,"Santa Clara, CA",1,Personal income (thousands of dollars),108733666,119185630,132084416,134103796,146464866,161471908,175007448,190293049,207881196,218812289,235337536,272410237,267278720,283486355,303627499
06085,"Santa Clara, CA",2,Population (persons) 1,1786576,1814769,1842795,1873543,1901084,1927838,1942556,1948968,1951006,1943736,1924802,1878320,1883653,1897137,1926325
06085,"Santa Clara, CA",3,Per capita personal income (dollars) 2,60861,65675,71676,71578,77043,83758,90091,97638,106551,112573,122266,145029,141894,149429,157620
06087,"Santa Cruz, CA",1,Personal income (thousands of dollars),12854613,13060271,13782878,14052964,14653925,15572810,16070715,17075441,17767743,18960307,20914739,23107862,22022517,23102260,24556016
06087,"Santa Cruz, CA",2,Population (persons) 1,263175,264932,266401,268851,270882,273518,274504,274897,273749,272910,271768,260904,265851,263699,262406
06087,"Santa Cruz, CA",3,Per capita personal income (dollars) 2,48844,49297,51737,52270,54097,56935,58545,62116,64905,69475,76958,88568,82838,87608,93580
