fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,countyname
607999999,1059,1196,1542,2230,2708,6,San Luis Obispo County
608199999,2069,2561,3170,4153,4392,6,San Mateo County
608399999,1403,1667,1951,2625,3040,6,Santa Barbara County
608599999,1952,2316,2839,3829,4394,6,Santa Clara County
608799999,1567,1844,2439,3241,3701,6,Santa Cruz County
608999999,659,758,980,1417,1721,6,Shasta County
609199999,881,984,1294,1848,2079,6,Sierra County
609399999,540,635,840,1156,1349,6,Siskiyou County
609599999,983,1184,1443,2086,2531,6,Solano County
609799999,1254,1447,1887,2728,3298,6,Sonoma County
609999999,722,803,1016,1451,1715,6,Stanislaus County
610199999,670,674,878,1269,1542,6,Sutter County
610399999,599,633,837,1142,1151,6,Tehama County
610599999,575,639,845,1222,1358,6,Trinity County
610799999,695,699,925,1291,1525,6,Tulare County
610999999,660,797,992,1365,1616,6,Tuolumne County
611199999,1153,1362,1795,2518,3019,6,Ventura County
611399999,953,1015,1342,1935,2357,6,Yolo County
611599999,670,674,878,1269,1542,6,Yuba County
600199999,1488,1808,2239,3042,3720,6,Alameda County
600399999,685,778,1014,1457,1617,6,Alpine County
600599999,851,856,1128,1627,1908,6,Amador County
600799999,761,842,1090,1567,1881,6,Butte County
600999999,668,849,988,1425,1735,6,Calaveras County
601199999,634,712,938,1353,1647,6,Colusa County
601399999,1488,1808,2239,3042,3720,6,Contra Costa County
601599999,661,775,978,1369,1571,6,Del Norte County
601799999,952,1072,1349,1946,2368,6,El Dorado County
601999999,691,787,980,1395,1621,6,Fresno County
602199999,597,670,883,1100,1196,6,Glenn County
602399999,687,806,1040,1500,1797,6,Humboldt County
602599999,669,781,1027,1365,1744,6,Imperial County
602799999,783,788,973,1313,1318,6,Inyo County
602999999,711,726,946,1365,1624,6,Kern County
603199999,841,861,1064,1535,1647,6,Kings County
603399999,662,773,1016,1466,1567,6,Lake County
603599999,609,684,901,1300,1403,6,Lassen County
603799999,1279,1517,1956,2614,2857,6,Los Angeles County
603999999,833,839,1105,1584,1717,6,Madera County
604199999,2197,2720,3339,4365,4657,6,Marin County
604399999,716,804,1059,1376,1859,6,Mariposa County
604599999,805,892,1173,1659,1932,6,Mendocino County
604799999,651,782,947,1366,1652,6,Merced County
604999999,520,585,770,1062,1228,6,Modoc County
605199999,872,979,1290,1699,2058,6,Mono County
605399999,1334,1467,1810,2606,2834,6,Monterey County
605599999,1225,1427,1880,2712,2803,6,Napa County
605799999,856,998,1314,1896,2052,6,Nevada County
605999999,1563,1785,2216,3098,3578,6,Orange County
606199999,952,1072,1349,1946,2368,6,Placer County
606399999,619,722,916,1250,1453,6,Plumas County
606599999,875,1030,1289,1789,2216,6,Riverside County
606799999,952,1072,1349,1946,2368,6,Sacramento County
606999999,1290,1298,1710,2467,3002,6,San Benito County
607199999,875,1030,1289,1789,2216,6,San Bernardino County
607399999,1404,1566,2037,2894,3576,6,San Diego County
607599999,2197,2720,3339,4365,4657,6,San Francisco County
607799999,745,869,1144,1650,2009,6,San Joaquin County
607999999,1153,1275,1657,2390,2909,6,San Luis Obispo County
608199999,2197,2720,3339,4365,4657,6,San Mateo County
608399999,1684,1964,2324,3101,3572,6,Santa Barbara County
608599999,2103,2458,2970,3943,4525,6,Santa Clara County
608799999,1641,1913,2519,3342,3746,6,Santa Cruz County
608999999,630,744,966,1394,1696,6,Shasta County
609199999,858,975,1270,1825,2026,6,Sierra County
609399999,591,650,856,1218,1344,6,Siskiyou County
609599999,1124,1318,1589,2292,2790,6,Solano County
609799999,1302,1489,1949,2798,3302,6,Sonoma County
609999999,788,885,1105,1567,1846,6,Stanislaus County
610199999,838,844,1087,1568,1908,6,Sutter County
610399999,649,689,908,1216,1304,6,Tehama County
610599999,576,684,852,1229,1359,6,Trinity County
610799999,710,714,941,1312,1534,6,Tulare County
610999999,694,827,1015,1453,1774,6,Tuolumne County
611199999,1266,1503,1943,2709,3243,6,Ventura County
611399999,1010,1066,1404,2025,2432,6,Yolo County
611599999,838,844,1087,1568,1908,6,Yuba County
600199999,1595,1934,2383,3196,3863,6,Alameda County
600399999,723,819,1068,1528,1695,6,Alpine County
600599999,880,886,1149,1644,1980,6,Amador County
600799999,825,904,1192,1692,2064,6,Butte County
600999999,718,837,1061,1518,1837,6,Calaveras County
601199999,654,733,966,1382,1673,6,Colusa County
601399999,1595,1934,2383,3196,3863,6,Contra Costa County
601599999,677,827,1000,1387,1702,6,Del Norte County
601799999,1060,1188,1495,2140,2588,6,El Dorado County
601999999,795,851,1064,1509,1747,6,Fresno County
602199999,627,703,926,1152,1256,6,Glenn County
602399999,741,863,1113,1593,1901,6,Humboldt County
602599999,708,810,1060,1444,1793,6,Imperial County
602799999,811,851,1017,1374,1379,6,Inyo County
602999999,734,743,970,1388,1679,6,Kern County
603199999,894,903,1109,1587,1708,6,Kings County
603399999,707,813,1072,1534,1603,6,Lake County
603599999,633,709,935,1338,1439,6,Lassen County
603799999,1369,1605,2058,2735,2982,6,Los Angeles County
603999999,875,881,1151,1647,1802,6,Madera County
604199999,2350,2923,3553,4567,4970,6,Marin County
604399999,746,836,1102,1402,1908,6,Mariposa County
604599999,908,941,1240,1740,2103,6,Mendocino County
604799999,724,882,1067,1527,1847,6,Merced County
604999999,546,612,807,1090,1281,6,Modoc County
605199999,875,1006,1326,1785,2104,6,Mono County
605399999,1348,1466,1793,2566,2813,6,Monterey County
605599999,1331,1531,2018,2826,2836,6,Napa County
605799999,884,1013,1335,1911,2052,6,Nevada County
605999999,1678,1888,2331,3227,3716,6,Orange County
606199999,1060,1188,1495,2140,2588,6,Placer County
606399999,618,722,937,1318,1569,6,Plumas County
606599999,955,1106,1390,1917,2369,6,Riverside County
606799999,1060,1188,1495,2140,2588,6,Sacramento County
606999999,1200,1270,1674,2396,2898,6,San Benito County
607199999,955,1106,1390,1917,2369,6,San Bernardino County
607399999,1478,1642,2124,2987,3677,6,San Diego County
607599999,2350,2923,3553,4567,4970,6,San Francisco County
607799999,845,964,1270,1818,2199,6,San Joaquin County
607999999,1166,1263,1665,2383,2877,6,San Luis Obispo County
608199999,2350,2923,3553,4567,4970,6,San Mateo County
608399999,1728,2015,2374,3137,3589,6,Santa Barbara County
608599999,2228,2558,3051,3984,4593,6,Santa Clara County
608799999,1993,2292,3021,3947,4419,6,Santa Cruz County
608999999,804,924,1218,1743,2109,6,Shasta County
609199999,837,949,1237,1770,1963,6,Sierra County
609399999,661,694,914,1308,1381,6,Siskiyou County
609599999,1190,1351,1617,2314,2800,6,Solano County
609799999,1340,1519,1996,2825,3254,6,Sonoma County
609999999,890,987,1224,1733,2033,6,Stanislaus County
610199999,875,881,1122,1606,1943,6,Sutter County
610399999,692,722,952,1261,1458,6,Tehama County
610599999,587,680,868,1242,1377,6,Trinity County
610799999,723,728,959,1337,1561,6,Tulare County
610999999,726,845,1101,1551,1906,6,Tuolumne County
611199999,1269,1519,1923,2690,3189,6,Ventura County
611399999,1085,1147,1511,2162,2584,6,Yolo County
611599999,875,881,1122,1606,1943,6,Yuba County
600199999,1538,1854,2274,3006,3578,6,Alameda County
600399999,725,822,1073,1524,1705,6,Alpine County
600599999,920,926,1148,1631,1965,6,Amador County
600799999,826,895,1177,1662,2015,6,Butte County
600999999,739,857,1094,1554,1785,6,Calaveras County
601199999,713,717,944,1341,1506,6,Colusa County
601399999,1538,1854,2274,3006,3578,6,Contra Costa County
601599999,651,831,980,1355,1677,6,Del Norte County
601799999,1108,1228,1543,2192,2625,6,El Dorado County
601999999,899,904,1137,1607,1847,6,Fresno County
602199999,627,717,944,1167,1280,6,Glenn County
602399999,741,862,1112,1580,1903,6,Humboldt County
602599999,716,815,1065,1486,1793,6,Imperial County
602799999,754,874,1077,1530,1712,6,Inyo County
602999999,763,772,1013,1439,1734,6,Kern County
603199999,924,930,1162,1651,1799,6,Kings County
603399999,678,776,1021,1450,1544,6,Lake County
603599999,623,712,937,1331,1372,6,Lassen County
603799999,1384,1604,2044,2693,2933,6,Los Angeles County
603999999,913,919,1198,1702,1870,6,Madera County
604199999,2115,2631,3198,4111,4473,6,Marin County
604399999,718,808,1063,1423,1819,6,Mariposa County
604599999,945,954,1245,1729,2131,6,Mendocino County
604799999,766,914,1120,1591,1917,6,Merced County
604999999,605,609,801,1047,1273,6,Modoc County
605199999,1009,1045,1319,1829,2096,6,Mono County
605399999,1533,1616,1967,2794,3081,6,Monterey County
