County Code,County,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06039,"Madera, CA",1.0,Personal income (dollars),4245578000.0,4446463000.0,4674829000.0,4840670000.0,5167474000.0,5246433000.0,5497117000.0,5687523000.0,5815299000.0,6074666000.0,6896835000.0,7624891000.0,7371293000.0,7691441000.0,8474319000.0
06039,"Madera, CA",2.0,Population (persons),150972.0,151517.0,151216.0,150857.0,152783.0,152739.0,152851.0,154100.0,155260.0,155469.0,156434.0,159019.0,160414.0,163402.0,165432.0
06039,"Madera, CA",3.0,Per capita personal income (dollars),28122.0,29346.0,30915.0,32088.0,33822.0,34349.0,35964.0,36908.0,37455.0,39073.0,44088.0,47950.0,45952.0,47071.0,51225.0
06041,"Marin, CA",1.0,Personal income (dollars),21062194000.0,22828237000.0,24416303000.0,24806255000.0,26755509000.0,28764641000.0,29825203000.0,31324429000.0,33770671000.0,35941360000.0,38007035000.0,42948119000.0,43330639000.0,46196076000.0,48944339000.0
06041,"Marin, CA",2.0,Population (persons),253015.0,255926.0,257071.0,259862.0,262261.0,263269.0,263455.0,263145.0,263698.0,263129.0,261341.0,259254.0,257143.0,255706.0,256400.0
06041,"Marin, CA",3.0,Per capita personal income (dollars),83245.0,89199.0,94979.0,95459.0,102019.0,109260.0,113208.0,119039.0,128066.0,136592.0,145431.0,165660.0,168508.0,180661.0,190891.0
06043,"Mariposa, CA",1.0,Personal income (dollars),663308000.0,668438000.0,674319000.0,683099000.0,723456000.0,770497000.0,819746000.0,855857000.0,884466000.0,919521000.0,980104000.0,1036750000.0,1047585000.0,1118071000.0,1207938000.0
06043,"Mariposa, CA",2.0,Population (persons),18301.0,18193.0,17901.0,17825.0,17725.0,17628.0,17468.0,17426.0,17322.0,17073.0,17133.0,17136.0,17095.0,16996.0,17048.0
06043,"Mariposa, CA",3.0,Per capita personal income (dollars),36244.0,36741.0,37669.0,38323.0,40816.0,43709.0,46928.0,49114.0,51060.0,53858.0,57206.0,60501.0,61280.0,65784.0,70855.0
06045,"Mendocino, CA",1.0,Personal income (dollars),3328567000.0,3312742000.0,3295336000.0,3361037000.0,3583511000.0,3745679000.0,3847743000.0,4000436000.0,4155689000.0,4314307000.0,4782184000.0,5158878000.0,4996532000.0,5172576000.0,5567917000.0
06045,"Mendocino, CA",2.0,Population (persons),87926.0,87989.0,88471.0,88772.0,89473.0,89880.0,90592.0,91487.0,91870.0,91775.0,91362.0,91303.0,90027.0,89354.0,89175.0
06045,"Mendocino, CA",3.0,Per capita personal income (dollars),37856.0,37650.0,37248.0,37861.0,40051.0,41674.0,42473.0,43727.0,45234.0,47010.0,52343.0,56503.0,55500.0,57889.0,62438.0
06047,"Merced, CA",1.0,Personal income (dollars),7185521000.0,7738146000.0,7902641000.0,8269597000.0,9079656000.0,9400054000.0,9575058000.0,9919653000.0,10148451000.0,10728033000.0,12456741000.0,13654549000.0,13543535000.0,13776747000.0,15278285000.0
06047,"Merced, CA",2.0,Population (persons),256765.0,259532.0,261286.0,262625.0,265204.0,267322.0,268786.0,272480.0,275602.0,279209.0,282963.0,284834.0,292034.0,294402.0,296774.0
06047,"Merced, CA",3.0,Per capita personal income (dollars),27985.0,29816.0,30245.0,31488.0,34236.0,35164.0,35623.0,36405.0,36823.0,38423.0,44023.0,47939.0,46377.0,46796.0,51481.0
06049,"Modoc, CA",1.0,Personal income (dollars),340213000.0,345372000.0,338857000.0,343230000.0,367448000.0,382445000.0,383518000.0,380517000.0,381904000.0,407960000.0,470393000.0,483931000.0,511854000.0,519789000.0,580383000.0
06049,"Modoc, CA",2.0,Population (persons),9696.0,9501.0,9336.0,9123.0,9037.0,9015.0,8898.0,8795.0,8738.0,8778.0,8677.0,8640.0,8625.0,8566.0,8491.0
06049,"Modoc, CA",3.0,Per capita personal income (dollars),35088.0,36351.0,36296.0,37622.0,40660.0,42423.0,43102.0,43265.0,43706.0,46475.0,54211.0,56011.0,59345.0,60680.0,68353.0
06051,"Mono, CA",1.0,Personal income (dollars),576424000.0,586890000.0,565771000.0,561458000.0,579553000.0,590257000.0,608931000.0,683435000.0,663504000.0,727151000.0,800644000.0,842765000.0,867358000.0,916969000.0,974797000.0
06051,"Mono, CA",2.0,Population (persons),14223.0,14260.0,14033.0,13638.0,13573.0,13386.0,13436.0,13382.0,13318.0,13237.0,13225.0,13263.0,13055.0,13207.0,12991.0
06051,"Mono, CA",3.0,Per capita personal income (dollars),40528.0,41156.0,40317.0,41169.0,42699.0,44095.0,45321.0,51071.0,49820.0,54933.0,60540.0,63543.0,66439.0,69431.0,75036.0
